time,CWND
0.100409,1.00
0.149778,1.00
0.326271,1.00
0.488011,1.00
0.499458,2.00
0.512690,2.50
0.526064,3.00
0.565780,1.00
0.577522,2.00
0.610194,1.00
0.626196,2.00
0.639408,2.50
0.653144,3.00
0.665460,3.50
0.754230,1.00
0.805293,1.00
0.881345,1.00
0.896316,2.00
0.909735,2.50
0.909964,3.00
1.192512,1.00
1.203984,2.00
1.547099,1.00
2.160958,1.00
2.204368,1.00
2.547157,1.00
2.563113,2.00
3.205443,1.00
3.563074,1.00
3.563255,1.00
4.206421,1.00
4.562858,1.00
4.563040,1.00
4.574665,2.00
5.576059,1.00
5.576175,1.00
5.576223,1.00
5.589811,2.00
6.577357,1.00
6.589686,1.00
6.589846,1.00
6.601434,2.00
6.615457,2.50
7.191235,1.00
7.202687,2.00
8.203986,1.00
8.204080,1.00
8.204151,1.00
9.204752,1.00
9.204940,1.00
9.205061,1.00
9.216662,2.00
10.218286,1.00
10.218392,1.00
10.218440,1.00
11.219544,1.00
11.219645,1.00
11.219704,1.00
11.233430,2.00
11.245661,2.50
12.234639,1.00
12.234855,1.00
12.245103,1.00
13.236476,1.00
13.236665,1.00
13.244898,1.00
14.238147,1.00
14.238360,1.00
14.244589,1.00
14.250433,2.00
14.266302,2.50
14.279456,3.00
15.252671,1.00
15.264201,2.00
15.279512,1.00
15.279649,1.00
15.295102,2.00
16.265364,1.00
16.279720,1.00
16.279946,2.00
16.295207,1.00
17.280889,1.00
17.281088,1.00
17.295309,1.00
17.295630,2.00
17.295800,2.50
17.308650,3.00
17.321378,3.50
18.309711,1.00
18.309898,1.00
18.309974,1.00
18.321168,1.00
18.321272,2.00
18.325609,2.50
19.326829,1.00
19.327017,1.00
19.327079,1.00
19.338755,2.00
19.341720,2.50
19.341917,3.00
19.356309,3.50
19.356570,4.00
19.368771,4.50
19.370709,5.00
19.371914,5.50
19.381432,6.00
19.382260,6.50
19.382311,7.00
19.760869,1.00
19.956961,1.00
20.259474,1.00
20.380889,1.00
20.381058,1.00
20.382221,1.00
20.382338,1.00
20.382426,1.00
20.393606,2.00
20.395831,2.50
21.384123,1.00
21.393432,1.00
21.395714,1.00
21.404980,2.00
22.405377,1.00
22.405569,1.00
22.405668,1.00
23.406907,1.00
23.407088,1.00
23.407184,1.00
24.407779,1.00
24.408015,1.00
24.408127,1.00
24.418683,2.00
24.431736,2.50
25.419491,1.00
25.419610,1.00
25.431823,1.00
25.432245,2.00
25.444698,2.50
26.433979,1.00
26.434191,1.00
26.444457,1.00
27.436137,1.00
27.436440,1.00
27.444643,1.00
27.456326,2.00
28.457362,1.00
28.457472,1.00
28.457538,1.00
